CÓDIGO,NOME,SEXO,TELEFONE,CPF,DT. NASCIMENTO,ÚLTIMA HOSP.
38154,GABRIEL ROCHA LIMA,M,(21) 99876-5432,31548796350,19/08/1995,22/07/2024
11298,MARIA FERNANDA COSTA,F,(11) 98123-4567,25874135866,19/08/1988,15/01/2025
45873,JOÃO PEDRO ALVES PEREIRA,M,(31) 98888-1234,45215935785,20/08/1999,30/11/2023
22441,ANA BEATRIZ FERREIRA,F,(41) 99555-8888,75395185241,21/08/1992,10/03/2024
50123,LUIZ FELIPE ALVES COSTA,M,(51) 98234-5678,12547896322,12/05/2001,28/02/2025
18765,MARIANA RIBEIRO OLIVEIRA,F,(61) 99111-2222,98765432100,23/11/1985,05/09/2023
29432,ENZO GABRIEL SOUSA CARVALHO,M,(71) 98888-7777,65498712311,14/02/1998,18/06/2024
34567,CLARA GOMES SANTOS,F,(81) 99666-3333,78912345622,30/09/1990,01/04/2025
48321,PEDRO HENRIQUE PINTO BARROS,M,(85) 98444-5555,32165498733,07/07/2000,25/12/2023
10987,LARA BARBOSA MOREIRA,F,(92) 99333-4444,45678912344,18/04/1982,12/10/2024
21345,BERNARDO CAMPOS AZEVEDO,M,(21) 98666-7777,96385274155,25/01/1997,20/03/2025
32876,HELENA CORREIA ROCHA,F,(11) 99777-8888,74185296366,01/12/1989,02/01/2024
43129,MATHEUS CUNHA DUARTE,M,(48) 98111-2222,85296374177,15/06/1994,28/10/2023
14753,LAURA FERNANDES FREITAS,F,(51) 99222-3333,15975348288,03/03/1980,16/05/2024
25846,LORENZO MELO CARDOSO,M,(31) 98333-4444,35715924899,10/10/2002,09/06/2025
36957,VALENTINA NUNES PIRES,F,(62) 99444-5555,24835715900,28/08/1987,11/02/2024
47159,DAVI LUCAS RAMOS SALES,M,(67) 98555-6666,95175386211,19/07/1993,14/08/2023
18264,ISABELLA JESUS TEIXEIRA,F,(27) 99888-9999,75395146222,20/05/1984,03/12/2024
29375,GUSTAVO REZENDE FOGAÇA,M,(98) 98999-0000,15935786433,01/09/2003,25/07/2025
40486,CECÍLIA VIANA FARIAS,F,(83) 99000-1111,35715964844,05/11/1986,30/04/2024
11597,FELIPE MENDES BARROS,M,(84) 98123-4567,25836914755,22/03/1996,18/07/2023
22608,MANUELA PINTO,F,(79) 99234-5678,14725836966,29/10/1983,17/09/2024
33719,THÉO BARBOSA ROCHA,M,(82) 98345-6789,36914725877,12/12/2004,10/08/2025
44820,ELOÁ CORREIA DUARTE,F,(75) 99456-7890,78596321488,08/02/1981,08/08/2024
15931,CAUÃ CUNHA,M,(68) 98567-8901,32145698799,21/07/1991,21/06/2023
26042,LIVIA FERNANDES,F,(96) 99678-9012,65478932100,04/06/1979,11/11/2024
37153,ISAAC FREITAS MELO,M,(95) 98789-0123,98732165411,01/01/2005,05/05/2025
